Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United States,Employed full-time,Medium,Data or business analyst,1,Taken an online course in programming or software development (e.g. a MOOC),30,76000.0,76000.0
India,Employed full-time,High,Back-end developer,5,Completed an industry certification program (e.g. MCPD),30,3.0,0.0
United Kingdom,Employed full-time,High,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),65 years or older,40000.0,55562.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,70000.0,70000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,27000.0,37504.0
United States,Employed full-time,Medium,Designer,5,Received on-the-job training in software development,21,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,150000.0,150000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,25000.0,34726.0
India,Employed full-time,Medium,Back-end developer,13,Taken a part-time in-person course in programming or software development,40,1900000.0,29743.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,2000000.0,375708.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,1100000.0,17220.0
United States,Employed full-time,High,Data or business analyst,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,88000.0,88000.0
United States,Employed full-time,Medium,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,115000.0,115000.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,180000.0,180000.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,125000.0,125000.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,65000.0,65000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,37000.0,51394.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,125000.0,125000.0
United States,Employed full-time,Medium,Data or business analyst,25,Taken an online course in programming or software development (e.g. a MOOC),50,154000.0,154000.0
United States,Employed full-time,High,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,160000.0,160000.0
United Kingdom,Employed full-time,Medium,Desktop or enterprise applications developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,35000.0,48616.0
India,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,3500000.0,54790.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,105000.0,105000.0
United States,Employed part-time,Medium,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),21,970.0,48500.0
United States,Employed full-time,Medium,Front-end developer,1,Received on-the-job training in software development,21,105000.0,105000.0
Canada,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,60000.0,48313.0
United States,Employed part-time,Low,Student,0,Taken an online course in programming or software development (e.g. a MOOC),30,200.0,10000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,950000.0,14872.0
United Kingdom,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,45000.0,62507.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,100000.0,100000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,19,Taken a part-time in-person course in programming or software development,40,135000.0,135000.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
Germany,Employed full-time,High,Embedded applications or devices developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,36000.0,44060.0
Germany,Employed full-time,Low,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,28500.0,34881.0
Germany,Employed full-time,High,Embedded applications or devices developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,54000.0,793068.0
Germany,Employed part-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,450.0,6612.0
United States,Employed full-time,Medium,Full-stack developer,5,Participated in a full-time developer training program or bootcamp,30,148500.0,148500.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,120000.0,1879.0
United Kingdom,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,60000.0,83342.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,160000.0,160000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,126000.0,1972.0
Germany,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,69500.0,85060.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,130000.0,130000.0
India,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,800000.0,12524.0
Canada,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,110000.0,1000000.0
